P1,P2,OBC,Comms
0.0,0.01,0.415,0.025
0.018,0.043,0.373,0.0
0.17,0.03,0.29,0.0
0.0,0.207,0.41,0.0
0.0,0.03,0.34,0.0
0.0,0.095,0.308,0.0
0.047,0.018,0.327,0.06
0.0,0.112,0.535,0.0
0.018,0.01,0.46,0.013
0.0,0.172,0.405,0.0
0.055,0.0,0.36,0.0
0.013,0.025,0.355,0.0
0.0,0.138,0.463,0.0
0.0,0.065,0.365,0.0
0.0,0.032,0.357,0.0
0.0,0.125,0.303,0.0
0.0,0.025,0.35,0.0
0.0,0.058,0.498,0.013
0.0,0.0,0.35,0.0
0.0,0.045,0.352,0.0
0.065,0.032,0.355,0.0
0.0,0.063,0.298,0.002
0.04,0.065,0.375,0.002
0.0,0.015,0.345,0.0
0.007,0.0,0.468,0.0
0.0,0.013,0.333,0.0
0.0,0.058,0.395,0.018
0.0,0.005,0.34,0.052
0.0,0.105,0.33,0.0
0.0,0.023,0.355,0.0
0.0,0.0,0.34,0.0
0.0,0.02,0.42,0.0
0.0,0.127,0.463,0.0
0.162,0.03,0.393,0.0
0.0,0.07,0.405,0.0
0.0,0.072,0.42,0.0
0.02,0.085,0.398,0.0
0.0,0.093,0.47,0.0
0.0,0.055,0.352,0.0
0.0,0.06,0.398,0.0
0.01,0.043,0.345,0.0
0.02,0.105,0.38,0.0
0.023,0.093,0.28,0.02
0.0,0.072,0.415,0.0
0.0,0.043,0.447,0.0
0.023,0.038,0.35,0.007
0.0,0.032,0.3,0.052
0.005,0.093,0.365,0.0
0.085,0.018,0.373,0.0
0.0,0.038,0.313,0.0
0.0,0.078,0.36,0.0
0.0,0.0,0.405,0.007
0.0,0.047,0.34,0.0
0.0,0.0,0.248,0.0
0.0,0.013,0.357,0.005
0.0,0.05,0.35,0.0
0.0,0.045,0.343,0.025
0.002,0.055,0.34,0.0
0.0,0.0,0.417,0.03
0.0,0.027,0.387,0.0
0.0,0.083,0.385,0.025
0.0,0.0,0.46,0.0
0.0,0.01,0.377,0.002
0.058,0.04,0.327,0.0
0.0,0.04,0.357,0.0
0.025,0.002,0.333,0.0
0.0,0.018,0.352,0.058
0.0,0.018,0.475,0.065
0.0,0.038,0.477,0.0
0.045,0.027,0.352,0.035
0.0,0.102,0.417,0.0
0.072,0.102,0.398,0.0
0.0,0.045,0.465,0.0
0.032,0.023,0.41,0.0
0.005,0.132,0.428,0.0
0.0,0.047,0.38,0.025
0.007,0.032,0.355,0.0
0.0,0.018,0.377,0.005
0.013,0.005,0.327,0.0
0.0,0.01,0.455,0.0
0.0,0.11,0.325,0.0
0.0,0.0,0.35,0.013
0.01,0.045,0.327,0.035
0.018,0.035,0.355,0.0
0.007,0.025,0.407,0.0
0.015,0.078,0.463,0.0
0.0,0.045,0.423,0.03
0.0,0.0,0.423,0.0
0.0,0.038,0.53,0.0
0.06,0.078,0.455,0.023
0.0,0.007,0.425,0.0
0.055,0.058,0.36,0.0
0.055,0.0,0.395,0.007
0.005,0.023,0.38,0.0
0.03,0.015,0.458,0.027
0.0,0.04,0.455,0.0
0.058,0.138,0.368,0.0
0.025,0.03,0.393,0.0
0.0,0.0,0.322,0.007
0.075,0.032,0.347,0.0
0.0,0.15,0.335,0.0
0.078,0.075,0.343,0.0
0.0,0.083,0.377,0.0
0.0,0.15,0.395,0.0
0.0,0.025,0.333,0.0
0.045,0.045,0.507,0.0
0.043,0.052,0.438,0.0
0.075,0.027,0.395,0.045
0.0,0.045,0.325,0.0
0.0,0.038,0.31,0.0
0.0,0.055,0.377,0.0
0.07,0.045,0.377,0.0
0.02,0.085,0.345,0.0
0.043,0.023,0.398,0.0
0.035,0.06,0.32,0.0
0.0,0.0,0.347,0.0
0.055,0.203,0.44,0.0
0.007,0.035,0.398,0.0
0.0,0.0,0.363,0.0
0.0,0.068,0.322,0.005
0.007,0.05,0.335,0.0
0.0,0.047,0.387,0.0
0.03,0.085,0.468,0.0
0.0,0.0,0.512,0.035
0.0,0.115,0.365,0.013
0.0,0.04,0.403,0.0
0.0,0.047,0.303,0.065
0.007,0.013,0.38,0.0
0.0,0.025,0.343,0.0
0.0,0.068,0.35,0.0
0.03,0.038,0.373,0.0
0.005,0.02,0.33,0.0
0.0,0.108,0.34,0.018
0.052,0.14,0.225,0.013
0.0,0.013,0.403,0.0
0.0,0.035,0.36,0.0
0.0,0.015,0.322,0.0
0.013,0.007,0.407,0.0
0.0,0.032,0.335,0.01
0.01,0.052,0.322,0.0
0.0,0.027,0.393,0.0
0.075,0.038,0.315,0.0
0.0,0.032,0.347,0.0
0.0,0.0,0.435,0.005
0.0,0.087,0.39,0.018
0.0,0.0,0.425,0.0
0.035,0.058,0.282,0.0
0.035,0.06,0.417,0.038
0.072,0.002,0.387,0.0
0.04,0.0,0.428,0.0
0.027,0.07,0.387,0.0
0.0,0.093,0.463,0.0
0.015,0.0,0.423,0.0
0.013,0.0,0.41,0.0
0.0,0.078,0.33,0.015
0.02,0.047,0.393,0.023
0.0,0.05,0.393,0.0
0.032,0.115,0.39,0.027
0.0,0.087,0.333,0.0
0.0,0.04,0.335,0.0
0.01,0.025,0.3,0.0
0.0,0.007,0.343,0.0
0.018,0.0,0.315,0.023
0.0,0.0,0.458,0.0
0.0,0.075,0.375,0.0
0.0,0.043,0.327,0.0
0.0,0.072,0.32,0.03
0.0,0.07,0.403,0.0
0.005,0.06,0.32,0.0
0.005,0.052,0.387,0.0
0.0,0.025,0.35,0.0
0.0,0.065,0.335,0.0
0.04,0.023,0.322,0.0
0.043,0.038,0.295,0.0
0.025,0.05,0.463,0.0
0.0,0.083,0.34,0.0
0.0,0.025,0.412,0.035
0.03,0.11,0.37,0.0
0.0,0.023,0.322,0.0
0.0,0.0,0.315,0.0
0.0,0.075,0.412,0.0
0.015,0.01,0.273,0.03
0.0,0.068,0.405,0.0
0.007,0.0,0.347,0.0
0.0,0.02,0.28,0.0
0.0,0.015,0.387,0.0
0.0,0.03,0.445,0.0
0.0,0.045,0.322,0.0
0.023,0.032,0.442,0.0
0.0,0.085,0.39,0.025
0.0,0.03,0.375,0.0
0.035,0.0,0.442,0.015
0.0,0.06,0.345,0.0
0.013,0.0,0.363,0.0
0.0,0.095,0.32,0.0
0.0,0.127,0.317,0.007
0.0,0.087,0.393,0.0
0.0,0.063,0.37,0.03
0.03,0.0,0.465,0.038
0.0,0.065,0.42,0.0
0.0,0.0,0.305,0.005
0.0,0.1,0.452,0.0
0.07,0.005,0.38,0.0
0.015,0.035,0.377,0.0
0.0,0.065,0.36,0.0
