P1,P2,OBC,Comms
0.0,0.05,0.322,0.013
0.0,0.055,0.29,0.0
0.005,0.095,0.41,0.0
0.0,0.027,0.377,0.0
0.058,0.0,0.393,0.047
0.015,0.015,0.373,0.0
0.0,0.043,0.357,0.0
0.0,0.018,0.38,0.0
0.035,0.087,0.37,0.0
0.0,0.115,0.35,0.0
0.018,0.068,0.42,0.0
0.013,0.0,0.407,0.0
0.0,0.038,0.393,0.0
0.03,0.102,0.445,0.0
0.0,0.015,0.45,0.0
0.0,0.045,0.377,0.0
0.0,0.013,0.455,0.005
0.0,0.078,0.565,0.075
0.005,0.125,0.475,0.0
0.025,0.027,0.385,0.0
0.0,0.05,0.303,0.0
0.093,0.105,0.488,0.0
0.0,0.065,0.39,0.0
0.115,0.055,0.352,0.0
0.0,0.0,0.29,0.0
0.018,0.025,0.355,0.0
0.0,0.047,0.455,0.0
0.052,0.055,0.35,0.0
0.0,0.0,0.433,0.0
0.05,0.013,0.485,0.035
0.0,0.035,0.385,0.0
0.032,0.01,0.592,0.05
0.0,0.032,0.415,0.0
0.013,0.02,0.398,0.0
0.0,0.0,0.435,0.0
0.0,0.035,0.4,0.0
0.0,0.027,0.4,0.0
0.018,0.005,0.403,0.0
0.0,0.032,0.385,0.0
0.047,0.05,0.423,0.0
0.0,0.055,0.373,0.0
0.0,0.068,0.333,0.01
0.0,0.047,0.382,0.0
0.015,0.038,0.477,0.0
0.007,0.035,0.385,0.0
0.0,0.138,0.415,0.013
0.0,0.047,0.447,0.0
0.035,0.068,0.415,0.0
0.0,0.035,0.385,0.0
0.0,0.0,0.275,0.047
0.0,0.032,0.377,0.01
0.078,0.097,0.475,0.03
0.0,0.085,0.468,0.0
0.035,0.025,0.53,0.035
0.0,0.09,0.425,0.0
0.0,0.245,0.39,0.015
0.015,0.072,0.533,0.0
0.0,0.0,0.425,0.0
0.0,0.0,0.425,0.027
0.0,0.147,0.387,0.0
0.0,0.138,0.355,0.0
0.093,0.12,0.433,0.0
0.0,0.032,0.39,0.0
0.038,0.0,0.407,0.0
0.07,0.125,0.52,0.0
0.0,0.03,0.405,0.0
0.032,0.0,0.433,0.0
0.072,0.0,0.35,0.0
0.0,0.093,0.425,0.0
0.0,0.115,0.343,0.0
0.002,0.002,0.417,0.0
0.035,0.058,0.368,0.015
0.0,0.13,0.433,0.0
0.0,0.01,0.458,0.0
0.013,0.05,0.425,0.0
0.0,0.045,0.368,0.0
0.05,0.05,0.41,0.03
